"code_commune","nom_ville","code_postal","dpt_ville","population","longitude","latitude"
"93048","montreuil","93100","93","102200","2.43333","48.8667"
"93051","noisy le grand","93160","93","63100","2.56667","48.85"
"93053","noisy le sec","93130","93","38700","2.46667","48.8833"
"93055","pantin","93500","93","52700","2.4","48.9"
"93064","rosny sous bois","93110","93","40800","2.48333","48.8667"
"93066","saint denis","93200-93210","93","103700","2.35833","48.9333"
"93070","saint ouen","93400","93","45600","2.33333","48.9"
"93071","sevran","93270","93","50800","2.53333","48.9333"
"94002","alfortville","94140","94","44700","2.41667","48.8"
"94017","champigny sur marne","94500","94","75100","2.51667","48.8167"
"94022","choisy le roi","94600","94","38200","2.41667","48.7667"
"94028","creteil","94000","94","89300","2.46667","48.7833"
"94033","fontenay sous bois","94120","94","52800","2.48333","48.85"
"94041","ivry sur seine","94200","94","56700","2.38333","48.8167"
"94046","maisons alfort","94700","94","52900","2.43333","48.8"
"94068","saint maur des fosses","94100-94210","94","75700","2.5","48.8"
"94076","villejuif","94800","94","53200","2.36667","48.8"
"94080","vincennes","94300","94","48100","2.43333","48.85"
"94081","vitry sur seine","94400","94","84100","2.4","48.7833"
"95018","argenteuil","95100","95","103300","2.25","48.95"
"95127","cergy","95000-95800","95","56100","2.06667","49.0333"
"95268","garges les gonesse","95140","95","39600","2.41667","48.9667"
"95585","sarcelles","95200","95","59200","2.38333","49.0000"
"97101","les abymes","97142","971","58534","16.3065","-61.5106"
"97105","basse terre","97100","971","11915","16.0015","-61.7183"
"97127","st martin","97150","971","36979","18.0913","-63.0829"
"97209","fort de france","97234","972","87216","14.627","-61.0732"
"97213","le lamentin","97232","972","39360","14.6191","-60.9946"
"97302","cayenne","97300","973","55753","4.92215","-52.3054"
"97311","st laurent du maroni","97320","973","38367","5.28697","-53.7897"
"97407","le port","97420","974","38418","-20.9348","55.2987"
"97409","st andre","97440","974","53955","-20.9599","55.6539"
"97411","ste clotilde","97490","974","145022","46.7107","1.71819"
"97414","st louis","97450","974","52038","15.95","-61.317"
"97415","st paul","97460","974","103346","-21.0033","55.2833"
"97416","ravine des cabris","97432","974","79228","43.6566","6.87387"
"97422","le tampon","97430","974","73365","-21.2815","55.518"
"97608","dzaoudzi","97610","976","14503","45.2705","-12.7888"
"97611","mamoudzou","97600","976","57281","45.2317","-12.7814"
